City,State_Abbre,Type,Population,Latitude,Longitude
Novi,MI,City,66243,42.481,-83.476
Madera,CA,City,66224,36.961,-120.061
South San Francisco,CA,City,66105,37.655,-122.41
Gloucester,NJ,Township,66034,39.807,-75.049
West Bloomfield,MI,Charter Township,65888,42.55,-83.409
Alpharetta,GA,City,65818,34.076,-84.295
Janesville,WI,City,65615,42.683,-89.023
Grand Junction,CO,City,65560,39.067,-108.564
Victoria,TX,City,65534,28.799,-97.006
Utica,NY,City,65283,43.101,-75.233
Waltham,MA,City,65218,42.375,-71.236
Lorain,OH,City,65211,41.466,-82.175
Muncie,IN,City,65194,40.194,-85.386
Pflugerville,TX,City,65191,30.439,-97.62
Cheyenne,WY,City,65132,41.14,-104.82
Idaho Falls,ID,City,64818,43.491,-112.039
