City,Region,Country,AirQuality,WaterPollution,State_Abbre
Garden Grove,California,United States of America,75.0,0.0,CA
Gilbert,Arizona,United States of America,75.0,0.0,AZ
Tempe,Arizona,United States of America,68.18181818,46.42857143,AZ
Peoria,Arizona,United States of America,65.0,15.0,AZ
Surprise,Arizona,United States of America,100.0,0.0,AZ
Plano,Texas,United States of America,78.57142857,32.14285714,TX
Irving,Texas,United States of America,62.5,37.5,TX
Amarillo,Texas,United States of America,53.125,53.125,TX
Brownsville,Texas,United States of America,57.14285714,68.75,TX
Mesquite,Texas,United States of America,50.0,75.0,TX
McKinney,Texas,United States of America,87.5,18.75,TX
McAllen,Texas,United States of America,87.5,35.71428571,TX
Orem,Utah,United States of America,65.625,33.33333333,UT
Ogden,Utah,United States of America,80.55555556,0.0,UT
Haverhill,Massachusetts,United States of America,100.0,50.0,MA
Beverly,Massachusetts,United States of America,100.0,0.0,MA
Medford,Massachusetts,United States of America,100.0,0.0,MA
Woburn,Massachusetts,United States of America,87.5,50.0,MA
Norwalk,Connecticut,United States of America,75.0,30.0,CT
East Providence,Rhode Island,United States of America,100.0,50.0,RI
Woonsocket,Rhode Island,United States of America,80.0,100.0,RI
Venice,Florida,United States of America,91.66666667,16.66666667,FL
